"race_id","name","year","age","m_f","run_time","bike_time","swim_time","final_time","high_temp","low_temp"
5126,"Ironman Louisville",2011,35,"M",11242,18855,3702,34189,88.00,70.00
5126,"Ironman Louisville",2011,40,"M",11859,18165,3791,34145,88.00,70.00
5126,"Ironman Louisville",2011,30,"M",10801,19203,4077,34454,88.00,70.00
5126,"Ironman Louisville",2011,35,"M",11623,19267,215220,34916,88.00,70.00
5126,"Ironman Louisville",2011,45,"M",11925,18124,4519,35056,88.00,70.00
5126,"Ironman Louisville",2011,30,"M",12415,19014,208860,35352,88.00,70.00
5126,"Ironman Louisville",2011,30,"M",11954,19386,3648,35372,88.00,70.00
5126,"Ironman Louisville",2011,30,"M",11827,19345,3768,35332,88.00,70.00
5126,"Ironman Louisville",2011,35,"M",12418,19137,3679,35590,88.00,70.00
5126,"Ironman Louisville",2011,35,"M",13603,18449,208440,35898,88.00,70.00
5126,"Ironman Louisville",2011,40,"M",12929,19000,3729,36064,88.00,70.00
5126,"Ironman Louisville",2011,30,"M",13060,18895,3844,36243,88.00,70.00
5126,"Ironman Louisville",2011,35,"M",13701,19031,198660,36563,88.00,70.00
5126,"Ironman Louisville",2011,45,"M",12904,19508,4038,37098,88.00,70.00
5126,"Ironman Louisville",2011,40,"M",13724,18965,3943,37191,88.00,70.00
5126,"Ironman Louisville",2011,25,"M",14890,18607,3742,37728,88.00,70.00
5126,"Ironman Louisville",2011,45,"M",13678,18659,5167,37974,88.00,70.00
5126,"Ironman Louisville",2011,30,"M",14839,18882,3887,38152,88.00,70.00
5126,"Ironman Louisville",2011,35,"M",14201,19476,4102,38347,88.00,70.00
5126,"Ironman Louisville",2011,45,"M",13350,21103,208680,38364,88.00,70.00
5126,"Ironman Louisville",2011,35,"F",14867,19738,201600,38522,88.00,70.00
5126,"Ironman Louisville",2011,30,"F",13803,20292,4018,38591,88.00,70.00
5126,"Ironman Louisville",2011,55,"M",14964,19573,4898,40101,88.00,70.00
