"race_id","name","year","age","m_f","run_time","bike_time","swim_time","final_time","high_temp","low_temp"
5129,"Ironman Louisville",2010,35,"M",18516,22248,4643,46323,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",20418,20278,4782,46345,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",18003,22994,4146,46524,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",19279,21936,4843,46517,96.00,73.00
5129,"Ironman Louisville",2010,55,"M",17104,23754,5015,46822,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",18604,23161,3935,46882,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",19635,21304,4833,46967,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",17949,23704,4307,46995,96.00,73.00
5129,"Ironman Louisville",2010,45,"F",18853,23015,4404,47011,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",17209,23256,5664,47047,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",19425,21894,4895,47074,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",18502,23519,4618,47375,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",19253,22814,4401,47567,96.00,73.00
5129,"Ironman Louisville",2010,45,"F",15897,25635,5325,47627,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",18510,21925,6286,47787,96.00,73.00
5129,"Ironman Louisville",2010,30,"F",20854,22115,3950,47745,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",20039,21315,4432,47816,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",19453,22558,4949,47837,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",22651,20170,4471,48011,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",19515,22761,4847,48075,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",19473,22702,4996,48169,96.00,73.00
5129,"Ironman Louisville",2010,45,"F",17286,24632,5091,48195,96.00,73.00
5129,"Ironman Louisville",2010,30,"F",17575,24239,5366,48214,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",18705,23867,4826,48245,96.00,73.00
5129,"Ironman Louisville",2010,55,"F",18032,22866,6241,48309,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",17646,23930,5891,48549,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",18671,23435,5287,48552,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",17720,25256,4971,48573,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",20161,21436,5649,48560,96.00,73.00
5129,"Ironman Louisville",2010,30,"F",18451,24814,4542,48619,96.00,73.00
5129,"Ironman Louisville",2010,60,"M",20426,22651,4529,48704,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",17272,24587,5756,48714,96.00,73.00
5129,"Ironman Louisville",2010,55,"M",17853,24318,5746,48958,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",21567,22282,4576,49093,96.00,73.00
