"race_id","name","year","qualifier_id","date","location","race_type","high_humidity","low_humidity","peak_wind_speed","starting_elevation","gross_elevation_gain","high_temp","low_temp"
5468,"Ironman 70.3 Cozumel",2013,99955,"9/22/13","Cozumel, Mexico","Ironman 70.3",100.00,84.00,9.20,14.00,360.00,87.30,69.80
5473,"Ironman 70.3 Augusta",2013,61447,"9/29/13","Augusta, GA, USA","Ironman 70.3",93.00,40.00,5.80,141.00,1610.00,62.10,57.00
5480,"Ironman 70.3 Port Macquarie",2013,20537,"10/20/13","Port Macquarie, Australia","Ironman 70.3",100.00,21.00,16.10,16.00,2191.00,76.50,54.50
5486,"Ironman 70.3 Austin",2013,7141,"9/27/13","Austin, TX, USA","Ironman 70.3",88.00,52.00,23.00,489.00,1769.00,91.40,75.20
5490,"Ironman 70.3 Miami",2013,64341,"9/27/13","Miami, FL, USA","Ironman 70.3",94.00,47.00,10.30,6.00,1029.00,89.10,77.00
5492,"Ironman 70.3 Mandurah",2013,31751,"9/20/13","Mandurah, Australia","Ironman 70.3",95.00,48.00,24.20,15.00,872.00,66.70,55.40
5496,"Ironman 70.3 Auckland",2013,5956,"1/13/13","Auckland, New Zealand","Ironman 70.3",94.00,69.00,23.00,20.00,1934.00,79.50,65.70
5500,"Ironman 70.3 South Africa",2013,92350,"1/20/13","Buffalo City, South Africa","Ironman 70.3",83.00,55.00,19.40,233.00,4499.00,80.80,65.30
5506,"Ironman 70.3 Panama",2013,18990,"2/3/13","Panama City, Panama","Ironman 70.3",100.00,40.00,15.00,7.00,1872.00,89.60,75.20
5507,"Ironman 70.3 Sunshine Coast",2013,30976,"9/15/13","Mooloolaba, Australia","Ironman 70.3",100.00,39.00,5.80,24.00,1568.00,82.00,59.20
5069,"Ironman St. Croix 70.3",2012,56293,"5/6/2012","St. Croix, USA","Ironman 70.3",94.00,72.00,13.00,20.00,3140.00,81.00,73.00
5135,"Ironman 70.3 European Championships",2012,19128,"8/12/2012","Weisbaden, Germany","Ironman 70.3",55.00,21.00,14.00,377.00,5721.00,77.00,58.00
5229,"Ironman 70.3 Japan",2012,64669,"6/24/12","Chita City and Tokoname City, Japan","Ironman 70.3",94.00,65.00,10.30,30.00,650.00,81.90,65.80
5232,"Ironman 70.3 Eagleman",2012,93659,"6/10/2012","Cambridge, MD, USA","Ironman 70.3",94.00,33.00,9.00,20.00,490.00,89.00,62.00
5248,"Ironman 70.3 Hawaii",2012,9682,"6/2/12","Kohala Coast, HI, USA","Ironman 70.3",93.00,62.00,10.30,40.00,2928.00,79.00,66.90
5298,"Ironman 70.3 Texas",2012,72238,"4/1/12","Galveston, TX, USA","Ironman 70.3",94.00,79.00,16.10,0.00,338.00,80.10,73.00
5301,"Ironman 70.3 Puerto Rico",2012,71337,"3/18/12","San Juan, Puerto Rico","Ironman 70.3",84.00,55.00,12.80,0.00,1379.00,84.00,73.00
5304,"Ironman 70.3 New Orleans",2012,66835,"4/22/12","New Orleans, LA, USA","Ironman 70.3",77.00,35.00,15.00,0.00,427.00,78.10,55.90
5311,"Ironman 70.3 Florida",2012,34695,"5/20/12","Haines City, FL, USA","Ironman 70.3",90.00,18.00,11.40,162.00,1673.00,89.60,68.00
5317,"Ironman 70.3 Busselton",2012,96581,"5/5/12","Busselton, Australia","Ironman 70.3",86.00,54.00,12.80,13.00,482.00,75.00,56.50
5321,"Ironman 70.3 Mallorca",2012,26947,"5/12/12","Alcudia, Spain","Ironman 70.3",82.00,24.00,12.80,49.00,3049.00,78.30,51.80
5323,"Ironman 70.3 Aix en Provence",2012,9452,"9/22/12","Aix en Provence, France","Ironman 70.3",78.00,36.00,12.80,568.00,4944.00,79.50,64.20
5329,"Ironman 70.3 St. Polten",2012,23825,"5/26/12","St. Polten, Austria","Ironman 70.3",76.00,13.00,13.80,876.00,3528.00,73.40,46.00
