"id","race_id","qualifier_id","name","year","age","athlete_id","final_time","cycle_time","run_time","swim_time","high_temp","low_temp","high_humidity","low_humidity","starting_elevation","gross_elevation_gain"
36380,5015,67724,"Ironman Arizona",2008,45,14097,43151,21834,16256,4588,94.00,63.00,23.00,4.00,1160.00,2119.00
250484,5085,48917,"Ironman World Championships",2012,50,14097,45522,22695,16563,5523,86.00,75.00,66.00,53.00,49.00,4865.00
37048,5020,67724,"Ironman Arizona",2006,44,14097,42390,20582,16454,4808,88.00,60.00,31.00,9.00,1160.00,2119.00
148030,5112,89837,"Ironman Wisconsin",2005,43,14097,47573,22109,20014,4829,91.00,69.00,78.00,32.00,863.00,1916.00
134076,5109,89837,"Ironman Wisconsin",2010,45,14097,46551,22630,17954,5181,80.00,50.00,89.00,39.00,863.00,1916.00
36709,5018,67724,"Ironman Arizona",2007,45,14097,40603,20448,14893,4847,78.00,59.00,36.00,10.00,1160.00,2119.00
183447,5176,73783,"Ironman Lake Placid",2003,40,14097,43623,23277,14623,5104,69.00,59.00,97.00,65.00,1801.00,6493.00
133882,5108,89837,"Ironman Wisconsin",2011,50,14097,44156,21392,17082,4972,84.00,51.00,100.00,43.00,863.00,1916.00
16081,5004,7504,"Ironman Florida",2006,45,14097,38882,19427,14074,4922,68.00,55.00,63.00,46.00,17.00,1335.00
27518,5013,67724,"Ironman Arizona",2009,45,14097,41999,20091,16554,4898,76.00,48.00,44.00,14.00,1160.00,2119.00
